id,title,category,domain,module,page,url,role,severity,priority,riskScore,likelihood,techImpact,bizImpact,userImpact,status,description,expectedBehavior,actualBehavior,reproduction,recommendation,workaround,suggestedOwner,estimatedEffort,targetSprint
"QA-003","leave.runAccrual issues one sequential DB write per employee×leaveType combination instead of a bulk operation","Performance","QA","Leave / Accrual cron","n/a (server mutation, triggered by /api/cron/accrual)","/api/cron/accrual","super_admin, hr_manager","Medium","P3","9","3","3","2","1","confirmed","The `runAccrual` mutation computes accrual results for every active employee × leave type in memory, then loops over the results issuing one `await ctx.db.insert(...)` or `await ctx.db.update(...)` per row sequentially inside a for-loop, rather than batching the writes.","Bulk insert/update (e.g. a single multi-row insert with onConflict upsert, or Promise.all with a bounded concurrency) so the accrual run scales sub-linearly with employee count.","for (const result of results) { await ctx.db.insert(...) } / await ctx.db.update(...) — strictly sequential, one round trip per employee per leave type.","Read apps/web/trpc/routers/leave.ts lines 319-386 (runAccrual mutation).","Batch inserts with a single multi-row INSERT ... ON CONFLICT DO UPDATE, or chunk the loop with Promise.all in small batches (e.g. 20 at a time) to reduce round trips while bounding connection usage.","Fine at current demo/pilot scale.","backend","S","Backlog"
"QA-005","No timeout or retry on any external HTTP call (Qiwa gov API, Gemini, Claude)","Reliability","QA","Integrations / LLM","AI assistant chat, Qiwa sync features","n/a","all","Medium","P3","9","3","3","2","3","confirmed","Every external fetch() call in the Qiwa client (packages/qiwa/src/index.ts, 8 call sites: auth token, employees, contracts, contract status, health check) and both LLM providers (packages/llm/src/providers/gemini.ts:65, packages/llm/src/providers/claude.ts:56) is a bare `await fetch(...)` with no AbortController/signal timeout and no retry/backoff logic.","External calls to third-party/government APIs and LLM providers should have a bounded timeout (e.g. 10-30s via AbortController) and at least one retry for transient network errors, so a slow upstream cannot hang a user-facing request indefinitely.","fetch() calls have no `signal`/timeout option anywhere in the qiwa or llm packages; a hung upstream connection will hang the calling tRPC procedure until the platform's own request timeout (if any) kicks in.","grep -n ""fetch(\|timeout\|AbortController\|retry"" packages/qiwa/src/index.ts packages/llm/src/providers/gemini.ts packages/llm/src/providers/claude.ts — no timeout/retry keyword matches at any call site.","Add an AbortController-based timeout (e.g. 15s for LLM, 20s for Qiwa) to every external fetch, and a single retry with backoff for network-level failures (not for 4xx application errors).","The AI chat path already has a try/catch fallback to a stub reply for context-fetching, which limits blast radius for that one call; the main completion call itself has no fallback.","backend / sre-engineer","S","Next"
"QA-009","Several tRPC routers with real business logic have no dedicated unit/integration tests (attendance, expense, compliance, department, settlement, notification)","Test Coverage","QA","Attendance / Expense / Compliance / Department / Settlement / Notification","Attendance, Expenses, Compliance, Departments, Settlements, Notifications","/attendance, /expenses, /compliance, /departments","all","Medium","P3","9","3","3","2","2","confirmed","apps/web/trpc/routers/attendance.ts (788 lines: shifts, shift assignments, punches, exceptions, monthly reports, GPS subtree) has no matching unit/integration test file; it is only touched indirectly by two Playwright UI specs (attendance-guide-map.spec.ts, attendance-reports.spec.ts), which test rendering, not the underlying query/business logic (overtime calc, late/absence classification, subtree building). expense.ts, compliance.ts, department.ts, settlement.ts, and notification.ts routers similarly have no dedicated test file.","Routers implementing calculations (overtime, late minutes) or RBAC-scoped visibility rules (expense.ts's SEC-004 remediation for pending-approval visibility) should have logic-level tests independent of the UI.","Only e2e/UI-level coverage exists for attendance; no coverage at all for expense/compliance/department/settlement/notification routers.","find . -name '*.test.ts' | grep -iE 'attendance|expense|compliance|department|settlement|notification' — no matches beyond leave/payroll's own attendance-adjacent overtime tests in packages/payroll.","Prioritize a test for expense.ts's role-scoped visibility (given it references a prior IDOR fix) and attendance.ts's overtime/late calculation before adding new features to these routers.","None.","tdd-guide","M","Backlog"
"RBAC-004","Incomplete SEC-006 fix: attendance company reads and leave company reads remain companyProcedure (recruiter over-exposure)","Over-permissive read / capability not enforced","RBAC","tRPC routers attendance, leave","/attendance, /leave","attendance.list, attendance.monthlyReport, attendance.exceptions, attendance.assignment.list, leave.request.list, leave.balance.list","recruiter","Medium","P2","9","3","3","2","3","confirmed","The Phase 2 SEC-006 remediation applied requireCapability to recruitment, retention, settlement, document and ai reads, but did NOT touch the attendance and leave company-wide reads. attendance.list/monthlyReport/exceptions/assignment.list and leave.request.list/balance.list are still companyProcedure, which authorizes any non-employee/candidate staff role. The capability model grants attendance:view_company and leave:view_company to super_admin/hr_manager/hr_specialist/payroll_admin/department_manager but NOT recruiter. A recruiter therefore reads all-employee attendance (attendance.list embeds each employee row and last workLocation) and all-employee leave, outside their capability set. The 03-permission-matrix.md itself flagged these as 'Over-permissive (recruiter)' — they were never closed.","attendance.list/monthlyReport/exceptions/assignment.list should be requireCapability('attendance:view_company') and leave.request.list/balance.list requireCapability('leave:view_company'), consistent with the rest of Phase 2.","recruiter (no attendance/leave company capability) can read every employee's attendance and leave records.","Login as recruiter -> call attendance.list or leave.request.list -> returns company-wide records despite recruiter lacking attendance:view_company / leave:view_company.","Swap companyProcedure -> requireCapability('attendance:view_company') on the four attendance reads and requireCapability('leave:view_company') on leave.request.list/balance.list (mirror the getSubtree fix already applied).","None client-side.","Backend","S","Next sprint"
"RBAC-005","expense.markPaid callable by any staff role (finance action on companyProcedure)","Over-permissive write / missing capability check","RBAC","tRPC router expense","/expenses","expense.markPaid","recruiter, department_manager","Medium","P2","9","3","3","3","2","confirmed","expense.markPaid transitions an approved expense to 'paid' (a finance close-out) but is guarded only by companyProcedure, so every non-employee/candidate staff role — including recruiter and department_manager, who hold no finance/payroll capability — can mark expenses paid. The in-code comment claims 'Only HR / super_admin can do this', which the guard does not enforce. SEC-004 fixed the read path but left this write over-permissive; the 03-permission-matrix.md flagged it as 'Over-permissive (any staff role)'.","markPaid should be requireRole(super_admin, hr_manager, payroll_admin) / requireCapability('payroll:view_company') to match the finance-close intent.","recruiter and department_manager can move expenses to paid state.","Login as recruiter -> call expense.markPaid on an approved expense id -> status becomes 'paid'.","Change expense.markPaid to requireRole(super_admin, hr_manager, payroll_admin) (the EXPENSE_COMPANY_ROLES already defined in this file) or requireCapability.","None client-side.","Backend","S","Next sprint"
"RBAC-006","Alternate login route /api/auth/login bypasses account lockout and rate limiting (brute-force oracle)","Authentication hardening bypass","RBAC","REST route (custom)","/login","/api/auth/login","anonymous","Medium","P2","9","3","3","3","3","confirmed","POST /api/auth/login performs a bcrypt password comparison against users.passwordHash and returns ok+user on success, but it bypasses every protection the NextAuth authorize() callback provides: the durable per-account lockout, the MFA gate, and the login rate-limit. The middleware only rate-limits /api/auth/callback/credentials (5/min) and general /api/auth (loose), and /api/auth/login is NOT in the middleware matcher at all, so no edge throttle applies. The route does not set a session cookie, so it is a password-verification oracle rather than a session bypass — but it enables unthrottled offline-style online password guessing that the account-lockout control (praised in the prior audit) was meant to stop.","There should be a single authentication path (NextAuth credentials) that enforces lockout, MFA and rate-limiting; ad-hoc credential-check routes should not exist, or must apply the same lockout/rate-limit logic.","Unlimited unauthenticated password guesses against any account with no lockout, MFA or throttle.","Script POST /api/auth/login with a fixed email and many passwords -> no lockout or 429 is ever returned; failed_login_attempts/locked_until are never consulted.","Remove /api/auth/login if unused; otherwise route it through the same authorize() logic (lockout + MFA + rate-limit) and add it to the middleware matcher's login rate-limit branch.","Add /api/auth/login to the login rate-limit matcher and block at edge.","Backend / Auth","S","Next sprint"
"UX-005","Focus outline removed with no replacement on Super Admin tenant filter input","Accessibility","UX","Super Admin","Super Admin dashboard","/super-admin","Super Admin","Medium","P3","9","3","2","2","3","confirmed","Across the codebase, every other instance of `focus:outline-none` is paired with a replacement indicator (`focus:ring-2`, `focus:border-*`, etc. — 28 of 29 occurrences checked). The tenant filter input on the Super Admin page is the sole exception: it removes the native outline and supplies no visible focus state at all.","Keyboard users tabbing to the filter input should see a visible focus indicator (ring/border/box-shadow), consistent with every other input in the app.","Tabbing into the field shows no visible change; the input is indistinguishable from its unfocused state.","1. Open /super-admin as a super_admin user. 2. Tab through the page until focus reaches the 'Filter by name, CR, schema' input. 3. No focus ring or border change is visible.","Add `focus:ring-2 focus:ring-emerald-600` (or equivalent) matching the sibling filter/search inputs elsewhere in the app.","Mouse users unaffected.","Frontend","S","Next"
"UX-007","Hand-rolled ""Save Map View"" modal lacks dialog semantics, focus trap and Escape-to-close","Accessibility","UX","Attendance / Guide Map","Guide Map","/attendance/guide-map","HR Manager, Department Manager","Medium","P2","9","3","3","2","3","confirmed","The app already ships an accessible modal primitive (packages/ui/src/ui/dialog.tsx, built on @radix-ui/react-dialog, with built-in focus trap, Escape handling and aria-modal) and uses it correctly elsewhere (apps/web/app/(dashboard)/attendance/portal/page.tsx:249-328). The Guide Map page's ""Save This View"" flow instead renders a plain `fixed inset-0` overlay `<div>` with no `role=""dialog""`, no `aria-modal=""true""`, no focus trap, and no keydown handler for Escape.","Opening 'Save This View' should trap focus inside the dialog, be announced as a dialog to screen readers, and close on Escape — matching the Punch Dialog pattern on /attendance/portal.","Tab can move focus out of the overlay into the page behind it; Escape does nothing; no dialog role is exposed.","1. Open /attendance/guide-map. 2. Click 'Save This View'. 3. Press Tab repeatedly — focus escapes into the sidebar/header behind the overlay. 4. Press Escape — nothing happens.","Replace the plain overlay with `Dialog`/`DialogContent` from @hrms-app/ui, consistent with attendance/portal/page.tsx.","Mouse/touch users can click Cancel or click outside conceptually (though click-outside isn't wired either, since it's not a real dialog).","Frontend","S","Next"
"UX-008","In-app help chat has no aria-live region for new messages","Accessibility","UX","Floating Help Chatbot","Global (all dashboard pages)","N/A (floating widget)","All authenticated roles","Medium","P3","9","3","2","2","3","confirmed","The floating Taazur Help chat appends new assistant/user messages to a scrolling `<div>` with no `aria-live` attribute. A screen-reader user who submits a question and then reviews other parts of the page will not be notified when the AI's reply arrives.","The message list (or a visually-hidden companion region) should be `aria-live=""polite""` so new assistant replies are announced automatically, similar to how apps/web/app/(dashboard)/loading.tsx correctly uses `aria-live=""polite""` for its skeleton state.","New messages (including the 'Thinking…' pending state) are silently inserted with no announcement.","1. Open the chat widget (bottom-right sparkle button). 2. Ask a question. 3. With a screen reader running, the reply appearing in the transcript is never announced.","Add `aria-live=""polite""` to the message container (line 177).","Users can manually re-focus/re-read the panel after sending a message.","Frontend","S","Next"
"UX-009","Destructive delete actions with zero confirmation step","UX","UX","Attendance Guide Map / Recruitment Jobs","Guide Map, Job Requisition detail","/attendance/guide-map, /recruitment/jobs/[id]","HR Manager, Department Manager, Recruiter","Medium","P2","9","3","2","3","3","confirmed","Two delete actions fire their mutation immediately on click with no confirmation of any kind — not even a native `confirm()`. This is inconsistent with the rest of the app, which guards comparable destructive actions (delete department, delete document, delete policy, revoke invite, cancel expense) behind a `window.confirm(...)` prompt.","Deleting a saved guide map or a job requisition should require an explicit confirmation step before the mutation fires, matching the pattern used for departments/documents/policies elsewhere in the app.","A single click on the trash icon (guide map) or the 'Delete' button (job requisition) immediately deletes the record.","1. Open /attendance/guide-map with at least one saved map. 2. Click the trash icon next to it. 3. The map is deleted immediately, no prompt. Similarly for a draft job requisition's Delete button on /recruitment/jobs/[id].","Add a confirmation step (ideally a themed AlertDialog rather than native confirm — see UX-010) before both mutations.","None; deletion is immediate and irreversible from the UI.","Frontend","S","Next"
"AUTH-005","Password reset token written to server logs unconditionally; email delivery not wired","Sensitive Data Exposure / Password Recovery","AUTH","apps/web/app/api/auth/request-reset","/forgot-password","/api/auth/request-reset","anonymous","Medium(P2)","P2","8","2","4","4","4","confirmed","request-reset builds the full reset URL containing the raw (un-hashed) token and logs it via console.info in ALL environments, including production - there is no NODE_ENV guard. Email delivery is a TODO, so in production the log is the ONLY place the token exists, and anyone with log/observability access (or a log sink integration) can complete an account takeover. Storing only the SHA-256 hash in the DB is good, but logging the plaintext token defeats it.","The raw token must only ever leave the server inside the emailed link; it must never be written to logs. In non-prod, gate any debug logging behind an explicit flag.","console.info logs email + full reset URL (raw token) on every request-reset for an existing user, unconditionally.","POST /api/auth/request-reset with a registered email; inspect server logs -> the full reset URL with a usable raw token appears.","Remove the token log line; wire delivery through @hrms-app/email. If a dev fallback is needed, gate it behind NODE_ENV !== 'production' AND an explicit DEV flag, and log only that a link was generated (no token).","Redact reset URLs at the log pipeline; treat existing logs as compromised and expire outstanding tokens.","Auth","S (2-4h)","immediate"
"BIZ-009","Payroll updateStatus allows state-machine shortcuts and an un-audited completed->cancelled that re-opens the period lock","Workflow / state-machine bypass","BIZ","payroll","/payroll","payroll.run.updateStatus","super_admin, hr_manager","Medium","P2","8","2","3","4","1","confirmed","updateStatus accepts any target status from updatePayrollRunSchema. It blocks completed -> (non-completed/non-cancelled) but still permits completed -> cancelled with no reason and no audit, and permits forward jumps such as draft -> completed that skip pre_check/ready. Because the PAY-010 period lock exempts 'cancelled' runs, cancelling a completed run re-opens the month for a brand-new run, enabling a second payroll for the same period. Unlike the dedicated reopen mutation, updateStatus writes no audit record.","Status transitions should follow the defined lifecycle (draft -> pre_check -> ready -> completed) with only the audited reopen able to unwind a completed run; any transition of a completed run should be audited.","Arbitrary forward jumps allowed; completed -> cancelled allowed silently with no audit; re-opens the period lock.","On a completed run, call updateStatus { data:{ status:'cancelled' } } (succeeds, no audit). Then payroll.run.create for the same periodMonth succeeds because the prior run is 'cancelled'.","Enforce explicit allowed transitions; route any completed-run change exclusively through the audited reopen (with reason); write an audit record for every status change; do not treat 'cancelled' as unlocking a period that already produced payslips.","Operationally forbid using updateStatus on completed runs; use reopen only.","Backend / Payroll squad","M (1 day)","next"
"BIZ-010","payslip.create allows manual injection of arbitrary payslip amounts, bypassing the calculation engine and audit","Amount tampering / calculation bypass","BIZ","payroll","/payroll","payroll.payslip.create","super_admin, hr_manager","Medium","P2","8","2","3","4","1","confirmed","payslip.create accepts a client array of payslips (basic, housing, netPay, gosi, etc.) and inserts them directly with no recomputation against the GOSI/orchestrator engine, no verification that the run exists or is open, and no audit entry. Amounts are only bounded by the schema (basic/netPay positive, others >= 0), so arbitrarily large net-pay figures can be written straight into a run.","Payslip amounts should be produced by the orchestrator (as run.create does) or, for manual corrections, validated against the engine and audited, tied to a run in an editable state.","Raw client values are inserted verbatim; no engine cross-check, no audit.","Call payroll.payslip.create with a payslip whose netPay = 999999 for any employeeId/payrollRunId. It is inserted unchanged.","Remove or lock down the raw create path; require corrections to go through an audited, engine-validated adjustment tied to a non-completed run.","Disable payslip.create in the UI; only create payslips via run.create.","Backend / Payroll squad","S-M (0.5-1 day)","next"
"BIZ-011","Compensation adjustment can be self-approved in a single call (client-supplied status + approvedById)","Segregation of duties / self-approval","BIZ","retention (compensation)","/retention/compensation","retention.compensationAdjustment.create","super_admin, hr_manager","Medium","P2","8","3","2","4","1","suspected","createCompensationAdjustmentSchema lets the caller set both status and approvedById directly, and the create mutation inserts them verbatim. An hr_manager can create a salary adjustment already flagged status='approved' with approvedById = self in one request, with no separate approval workflow, no actor != approver check, and no audit entry.","A compensation adjustment should be created as 'proposed', approved by a distinct authorised approver, and the approval should be audited; approvedById should be set by the server from the approving session, not the client.","status and approvedById are accepted from the client and stored as-is; no approval step, no audit.","As hr_manager, call retention.compensationAdjustment.create with status='approved', approvedById = own employee/user id, proposedValue = large amount. It is stored as an approved adjustment.","Force status='proposed' on create, ignore client approvedById, add a separate approve mutation requiring a different authorised approver, and audit the approval.","Restrict comp-adjustment approval to super_admin and review manually.","Backend / Retention squad","M (1 day)","next"
"PRIV-001","CSP allows script-src 'unsafe-inline' (and style-src 'unsafe-inline'), defeating XSS containment","security-headers","PRIV","apps/web (Next config / CSP)","all routes (global header)","N/A (applies to every response via headers())","all","Medium","High","8","2","4","4","4","confirmed","The Content-Security-Policy sets script-src and style-src to include 'unsafe-inline'. 'unsafe-inline' on script-src means any injected inline <script> or event-handler attribute executes, so the CSP provides no meaningful defence-in-depth against XSS. For a PII app (iqama, IBAN, salary) an XSS payload could read the DOM/tRPC responses and exfiltrate. 'unsafe-eval' was correctly dropped and the code comment acknowledges a pending nonce rollout, but until nonces ship the primary XSS mitigation is absent.","script-src should use per-request nonces or hashes (no 'unsafe-inline'); style-src should move to nonces/hashes where feasible.","script-src 'self' 'unsafe-inline' and style-src 'self' 'unsafe-inline' are hard-coded.","Load any page, inspect the Content-Security-Policy response header; observe script-src includes 'unsafe-inline'.","Adopt Next.js nonce-based CSP (middleware sets a per-request nonce, propagate to inline scripts) and remove 'unsafe-inline' from script-src. Migrate inline styles to nonces/hashes or external stylesheets.","Keep object-src 'none', frame-ancestors 'none', base-uri 'self' (already present) and prioritise the nonce rollout the comment references.","Frontend/Platform","M","next"
"API-007","In-memory rate limiter is per-instance and unbounded; CSRF skipped when Origin absent","Security Misconfiguration / Rate Limiting","API","middleware","middleware.ts","apps/web/middleware.ts","anonymous","Medium","P2","6","3","2","3","2","confirmed","middleware.ts implements rate limiting with a module-level Map (rateLimitMap). On serverless/edge (Vercel) each instance has its own Map, so limits are per-instance and largely ineffective under horizontal scaling; the Map also never evicts expired entries (unbounded memory growth). Additionally, the same-origin CSRF check only rejects when an Origin header is present and mismatched - requests with no Origin header (e.g. non-browser clients) bypass the check.","Rate limiting should use a shared store (Redis) so limits hold across instances, evict expired keys, and CSRF/same-origin protection should fail-closed for state-changing requests lacking a trustworthy Origin.","Limits reset per instance and per deploy; Map grows unbounded; missing Origin header skips the CSRF check.","Send state-changing POSTs to /api/upload without an Origin header (curl) -> CSRF check is bypassed; distribute login attempts so they land on different lambda instances -> per-IP limit is not enforced globally.","Back rate limiting with Redis (already a dependency via BullMQ) keyed by IP+route; evict expired keys; require a valid Origin/Referer (fail-closed) for state-changing custom routes, or rely on NextAuth CSRF tokens.","Add an edge/WAF rate limit; require Origin header on state-changing routes.","Platform/Infra team","M","next"
"UX-011","No ""skip to main content"" link before the sidebar navigation","Accessibility","UX","Dashboard Shell","All (dashboard) pages","/ (any dashboard route)","All authenticated roles","Low","P3","12","4","1","2","3","confirmed","There is no skip link anywhere in the codebase (confirmed via repo-wide search). Every dashboard page places roughly 15-20 sidebar navigation links (Sidebar's `<nav>`, apps/web/components/sidebar.tsx:158-184) before the `<main>` landmark in the DOM order, with no mechanism for keyboard/screen-reader users to jump directly to page content.","A visually-hidden-until-focused 'Skip to main content' link should be the first focusable element, targeting the `<main>` element in dashboard-shell.tsx:60.","Keyboard users must tab through the entire sidebar nav (and header controls) on every single page load/navigation before reaching page content.","Load any dashboard page and press Tab from the top — the first ~20 stops are sidebar links, not page content.","Add a standard skip link as the first child of DashboardShell's root, pointing to an `id` on the `<main>` element.","None; mouse/touch users unaffected.","Frontend","S","Next"
"DB-009","leave_balances has no uniqueness on (employee_id, leave_type_id, year) and no timestamps — duplicate balances / leave double-counting possible","Data Integrity / Constraints","DB","packages/db leave_balances","N/A","N/A","hr_manager / employee","Low","P3","9","3","3","3","3","confirmed","leave_balances defines id, employeeId (FK), leaveTypeId (FK), balance numeric(5,1), year integer — with no unique constraint across (employee_id, leave_type_id, year) and no created_at/updated_at. Nothing at the DB level prevents duplicate balance rows for the same key, and there is no audit of when a balance changed.","Exactly one balance row per employee per leave type per year, enforced by a unique constraint, with change timestamps.","Duplicates are permitted; no temporal audit columns.","Insert two rows with identical employee_id, leave_type_id, year -> both succeed.","Add UNIQUE (employee_id, leave_type_id, year) and created_at/updated_at columns; dedupe existing data before applying. Include in provisioning DDL (DB-001).","Enforce single-row invariant in application upsert logic (ON CONFLICT once the unique index exists).","Backend","S","Next"
"DB-010","PII '_enc' columns are plaintext TEXT at the DB level — encryption is enforced only by the app-layer Drizzle codec","Database Security / Encryption enforcement","DB","packages/db employees + crypto.ts","N/A","N/A","system","Low","P3","9","3","3","3","2","confirmed","iqama_number_enc / passport_number_enc / bank_iban_enc are ordinary TEXT columns; confidentiality depends entirely on every writer going through the encryptedText customType. The codec even passes through non-marked (legacy plaintext) values on read, so a plaintext write is invisible on read and silently defeats encryption-at-rest. Seed scripts and any db.execute raw path are realistic bypasses.","PII-at-rest guarantee should not depend on developer discipline; ideally a DB-level guard (e.g., a CHECK/trigger requiring the encv1: marker) or centralized write path.","Plaintext can land in _enc columns with no error and no read-time signal.","INSERT into employees (iqama_number_enc) VALUES ('1234567890') via raw SQL; row reads back as plaintext with isEncrypted=false and no error.","Add a DB CHECK/trigger enforcing the encv1: marker on _enc columns (allowing a time-boxed legacy window), or route all writes through a single repository. Add a lint/test that fails if raw writes target _enc columns. Complete the encrypt-pii-backfill and then tighten the constraint.","Code review to ensure only Drizzle codec writes these columns; run backfill.","Security / Backend","S-M","Next"
"UX-010","Destructive-action confirmations rely on unstyled native window.confirm() instead of the app's own dialog","UX","UX","Settings / Documents / Departments / Expenses","Multiple","/settings, /settings/team, /documents, /departments, /departments/[id], /expenses","HR Manager, Super Admin","Low","P4","8","4","1","2","2","confirmed","Six separate destructive flows use the browser-native, unstyled `confirm()` dialog rather than the app's own themed Dialog component (already available in packages/ui and used for the Punch Dialog on /attendance/portal). Native `confirm()` cannot be localized to match the user's chosen Arabic/English preference, doesn't match the Saudi-luxury visual language, and blocks the JS main thread.","Destructive confirmations should use the shared Dialog/AlertDialog pattern, with buttons/copy that respect `preferredLanguage`.","Confirmations show the browser's default OK/Cancel dialog with English-only, unstyled text regardless of the app's current language setting.","Switch the app to Arabic, then trigger any of the listed delete/cancel/revoke actions — the confirmation dialog remains in English with no theming.","Introduce a shared `useConfirm()`/`ConfirmDialog` built on the existing Dialog primitive and migrate these six call sites to it.","None needed — functionally works today.","Frontend","M","Backlog"
"API-006","Internal error strings leaked to clients (qiwa, health)","Information Disclosure / Error Handling","API","REST API - qiwa, health","/api/qiwa, /api/health","/api/qiwa","anonymous","Low","P3","6","3","2","2","1","confirmed","Several REST handlers return raw error text to the caller. /api/qiwa returns error.message (which can include upstream Qiwa/DB detail) and /api/health returns String(err) on failure. In contrast the tRPC error formatter and the login/signup/reset routes correctly return generic messages. This leaks internal detail (hostnames, driver errors) to unauthenticated clients.","Client-facing errors should be generic; detailed errors logged server-side only (as done in /api/auth/login).","Raw error.message / String(err) is serialized into the HTTP response body.","Trigger a DB/upstream error against /api/health or /api/qiwa and inspect the response body for internal error text.","Replace error bodies with a generic message and log the detail via console.error server-side.","Wrap responses with a generic error string.","Backend/API team","S","next"
"API-009","Retention update schemas allow client to set employeeId/status via input.data spread","Mass Assignment / Workflow Integrity","API","tRPC - retention router / validators","retention.*.update","trpc/retention","hr_manager, department_manager","Low","P3","6","2","2","3","2","suspected","The retention router applies updates with `.set({ ...input.data, updatedAt })` across ~40 procedures. Several update schemas in packages/validators/src/retention.ts include mutable identity/state fields such as employeeId (optional) and status (optional). Because the whole validated object is spread into .set(), a caller can reassign a record to a different employeeId or force a status transition directly, bypassing the intended workflow. Department write-scoping helpers exist (scoping.ts assertManagesGoal/Review/...) and procedures are capability-gated, which limits blast radius, but the schemas should not expose employeeId/status as freely-settable update fields. Marked suspected pending confirmation that each update procedure calls the corresponding assert* helper.","Update DTOs should allowlist only the fields a caller may change; immutable ownership keys (employeeId) and workflow state (status) should be excluded from generic update schemas or handled via dedicated, guarded transitions.","employeeId and status are present in update schemas and spread straight into .set().","Call a retention update mutation with data.employeeId set to another employee's UUID (or data.status set to a terminal state) and observe the record reassigned/transitioned.","Remove employeeId (and status where it should be a guarded transition) from the *Update schemas, or explicitly pick allowed fields before .set(). Ensure every update calls the matching assertManages* scoping helper.","Add explicit field picking in each retention update before writing.","Backend/API team","M","next"
"AUTH-008","MFA lacks recovery/backup codes and per-account TOTP attempt throttling","Authentication / MFA","AUTH","apps/web/trpc/routers/mfa.ts, packages/auth/src/index.ts","/settings (MFA)","n/a","authenticated","Low(P3)","P3","6","2","2","2","3","confirmed","MFA enrollment stores only a TOTP secret; there are no backup/recovery codes, so a user who loses their authenticator is locked out and requires manual DB intervention (clearing mfa_secret). Additionally, a wrong TOTP at login deliberately does not count toward account lockout (the password was correct), and the only throttle on TOTP guessing is the per-instance IP rate limit (see AUTH-007). With a +/-1 step window (3 valid codes per 1,000,000) online guessing is impractical but not rate-limited at the account level.","Provide single-use hashed backup codes at enrollment and throttle repeated failed TOTP attempts per account.","No backup codes; TOTP failures are unbounded at the account level.","Enrol MFA; there is no recovery-code output. Submit repeated wrong TOTP codes with a correct password - no account-level lockout accrues.","Generate 8-10 single-use backup codes (store hashed) at enrollment; add a per-account failed-TOTP counter that triggers a temporary MFA lock.","Document an admin runbook to reset mfa_secret on request after identity verification.","Auth","M (0.5-1d)","backlog"
"AUTH-009","Self-serve signup mints a tenant super_admin with no email verification or CR validation","Authentication / Registration","AUTH","apps/web/app/api/auth/signup, apps/web/trpc/routers/auth.ts","/signup","/api/auth/signup","anonymous","Low(P3)","P3","6","3","2","2","2","confirmed","Signup creates a tenant and inserts a user with role 'super_admin' and no email verification (emailVerified is never set) and no CR-number validation. Anyone can register a tenant bound to an email they do not control. Blast radius is limited because super_admin is tenant-scoped and cross-tenant registry access is separately gated by the PLATFORM_ADMIN_EMAILS allowlist (good), so the new super_admin only controls its own freshly created (empty) tenant - but it does enable spam-tenant creation and unverified-email accounts. There is also no meaningful anti-automation on /api/auth/signup (only the loose 10/sec auth-route limit).","Require email verification before activating the account, validate the CR number format, and rate-limit signups.","super_admin created immediately, unverified email, no CR validation.","POST /api/auth/signup with any email -> a tenant + super_admin account is created with emailVerified null.","Add email verification before first login, validate CR number, and rate-limit signup (shared store).","Monitor tenant creation; disable open signup if not required.","Auth/Product","M (1-2d)","backlog"
"BIZ-006","Leave requests can be back-dated: no lower bound on start date","Date manipulation","BIZ","leave","/leave","leave.request.create","employee / HR on-behalf","Low","P3","6","2","1","3","1","confirmed","createLeaveRequestSchema only enforces endDate >= startDate; there is no minimum date. A request can be dated entirely in the past, decrementing the prior period's balance (the decrement year is derived from startDate), which can conflict with already-closed attendance/payroll periods.","Back-dated leave beyond a configurable grace window should be rejected or require explicit HR override, and should not silently affect a closed period.","Any past startDate is accepted; year is taken from startDate for the balance effect.","Create a leave request with startDate/endDate in a prior month; it is accepted and, on approval, debits that year's balance.","Add a minimum-date rule (e.g. startDate >= today - N days) and block edits to closed periods; require HR override with audit for exceptions.","HR review of any request with a past start date.","Backend / Leave squad","S (0.5 day)","backlog"
"BIZ-014","Manager can author their own performance review/response (no actor != subject check)","Segregation of duties / self-review","BIZ","retention (performance)","/retention/reviews","retention.review.create / retention.reviewResponse.create","department_manager","Low","P3","6","2","1","2","2","suspected","review.create and reviewResponse.create for a department_manager are gated only by assertManagesEmployee / assertManagesReview (department scope). A manager whose own employee record is in a department they head can create or respond to a performance review about themselves, since the scope check passes. There is no check that the reviewer differs from the review subject.","A manager should not author or score their own performance review; self as subject should be rejected and escalated.","Only department-scope is enforced; actor != subject is not.","As a department_manager who is a member of a department they head, call review.create with employeeId = own id. It succeeds.","Reject when input.employeeId (or the review's employeeId) equals the caller's employeeId; require a skip-level reviewer for a manager's own review.","HR review of any self-authored review rows.","Backend / Retention squad","S (0.5 day)","backlog"
